,hktv_ad_id,order_number,additional_parent_order,order_date,order_time_range,delivery_date,delivery_timeslot,app_type,device_type,area,district,delivery_district,delivery_zone,estate_name_en,estate_name_chi,housing_type,sku_id,primary_sku_id,bundle_set,quantity,total_price,primary_category,primary_category_name_en,primary_category_name_chi,primary_store
0,bqzVXNevZOIVQ4her0H+mTQfDK5beeS93q7VY6KqInk=,VT+8WmW23dgR+86yDDGxGKS5GHX6V+jBb5Bbo5FhxzY=,,2022-04-24,15-18,2022-04-26,14:00 - 18:00,MAIN,Android,KLN,MEI FOO,WTK-MFS,美孚新村店,,,Commercial,b48fW+txY5Qid++2jKu4F1Wgm2C1joCs2xvSJVFqIvo=,b48fW+txY5Qid++2jKu4F1Wgm2C1joCs2xvSJVFqIvo=,,1,100 - 200,AA11852010001,Supermarket,超級市場,bCLoKAjv7ooRkrQWTyoHY91Zmn9hhNF5C5ZvjO5dV8I=
1,q4hyyDFWL9Iy/vyxjR+v2C0UenZbHV8Li7N8r5wN98E=,AqXI3ZUBdFGC9ZFpAc5chUBvyPazRUtqLsZQUeLLmtU=,,2022-04-24,09-12,2022-04-26,14:00 - 18:00,MAIN,Web,NT,TUNG CHUNG NT,NT-TW,W 東涌(霸尾),,,Private,4oyH8S3HxbAX9uZ1MSVNaeWYhddQF1RJ5mrFo5/d97U=,4oyH8S3HxbAX9uZ1MSVNaeWYhddQF1RJ5mrFo5/d97U=,,1,50 - 55,AA11852010001,Supermarket,超級市場,0ZdHba+JUNqi1Cs9EBM9sETy2MARJ+wJCleztdD64y8=
2,A0G0XxNkoMjIIwsA1/vcgArCfqiTowyZRWCNdudC02Q=,/oZ/3hpFu2jjs1+bL66dEr+xquRdn5QJY3VHjgDoWQ4=,,2022-04-24,00-09,2022-04-26,18:00 - 21:00,MAIN,iOS,NT,TUEN MUN TAI LAM NT,NT-TM,屯門(大欖),,,Private,qTbZqiY+4P9zmJcUk3XVMLVtdjqJZ+xTyDOCpF35iS4=,qTbZqiY+4P9zmJcUk3XVMLVtdjqJZ+xTyDOCpF35iS4=,,1,100 - 200,AA11852010001,Supermarket,超級市場,CriegCUfl9wcvRKvkXfPLoveRVcyXAem823/UA9Lrao=
3,C3/mgWsxpxDqpHU8Xve6kEVGopNRiBqxNIz+1JqfFXA=,FcqVMNq/CusFskJWZBVbjM9JlVGpTo46bum2EaahWsM=,,2022-04-24,15-18,2022-04-27,14:00 - 18:00,MAIN,iOS,HK,POK FU LAM HK,WTH,薄扶林,RESIDENCE BEL-AIR,貝沙灣,Private,qTbZqiY+4P9zmJcUk3XVMLVtdjqJZ+xTyDOCpF35iS4=,qTbZqiY+4P9zmJcUk3XVMLVtdjqJZ+xTyDOCpF35iS4=,,1,100 - 200,AA11852010001,Supermarket,超級市場,CriegCUfl9wcvRKvkXfPLoveRVcyXAem823/UA9Lrao=
4,4H7Vkl1b0Udt2c6Tknk2bHyr6/S+nROAwY76NHSpfjk=,j8ddEaS0pdQEQtGQ9MlIrBMDkQ5w/cILAUhGN47uBA0=,,2022-04-24,09-12,2022-04-28,10:00 - 14:00,MAIN,iOS,HK,SIU SAI WAN HK,ETH,小西灣(廠),,,Commercial,b5sjNGDWsbflFJZlfm93SsV8JkdQCFOA0dc0slqx9kU=,b5sjNGDWsbflFJZlfm93SsV8JkdQCFOA0dc0slqx9kU=,,2,60 - 65,AA11852010001,Supermarket,超級市場,A/dprvZaAuogaZDzRal25zAQtJ5wPQZhKR+WsK6soOY=
5,s/sUMYZRmIhThoRZrFLFB7am0LhIFEwcI+KZV7sB/40=,OMOMn7Tkrmtyhw7dnd9no0sP4Mu213KJoDIlJ+wUWCE=,,2022-04-24,00-09,2022-04-27,10:00 - 14:00,MAIN,Android,KLN,TSIM SHA TSUI KLN,WTK,尖沙咀,,,Private,1fEQDLa7Ko8yut1j4rqdp2TQsDQmuNp9qxE1ZtlaW+0=,1fEQDLa7Ko8yut1j4rqdp2TQsDQmuNp9qxE1ZtlaW+0=,,1,100 - 200,AA11852010001,Supermarket,超級市場,2WdvjBqtGbuVkJqrqu/S6UbfReJjL3cxiBLYv3gLWRs=
6,5518B3q7+dtnNHdxm9OhsNJIz/2PF95uI/Cuc/gALm8=,f9qGGZ+eqTgWfXfBSTPylsC3XpdcS2IEAdIYHMWbyp0=,,2022-04-24,18-21,2022-04-27,14:00 - 18:00,MAIN,Android,HK,TAI KOO HK,ETH,太古,KORNHILL GARDEN,康山花園,HOS,hEC8VcEgcxfMY7JzkMlEtmNuxTC10I7QUz0y1lPjQEU=,hEC8VcEgcxfMY7JzkMlEtmNuxTC10I7QUz0y1lPjQEU=,,2,95 - 100,AA11852010001,Supermarket,超級市場,FNCDNXxvqJHIzlSFEG8e38j8bXtsjN+A5p2KuCsznpM=
7,UDA4hzHEIHcdqXBuklKg7VtcQQLAzYCz+zSQfUDpuC4=,/oBOsNHc0G8jxceGfUxae4ulPwvYssKJRYKCg2Ip17w=,,2022-04-24,12-15,2022-04-26,18:00 - 21:00,MAIN,iOS,KLN,KOWLOON TONG KLN,WTX,九龍城,,,Private,vekm50PMucGa7zU7jeCTpD7EYi8kA/wrl+t9e3FcZUs=,vekm50PMucGa7zU7jeCTpD7EYi8kA/wrl+t9e3FcZUs=,,1,200 - 300,AA11852010001,Supermarket,超級市場,if3+W1PEGpzLKTHOb0qsP2Ff+pe4oRyTID6ivAaWdig=
8,Iz5i2zUnsy6wbR5bc1I9bAFRqVwIN9mT4T+XD2s9rW8=,2gfC7/G1yHGMLGz4OYc9Ua2FVaER95OCeOfpZrNQpRw=,,2022-04-24,21-24,2022-04-27,10:00 - 14:00,MAIN,iOS,KLN,TSIM SHA TSUI KLN,WTK,尖沙咀,,,Commercial,ODwSjwsH0TIt/MSxHSA66zbz0+iDoGM5Pd7u70BJUHg=,ODwSjwsH0TIt/MSxHSA66zbz0+iDoGM5Pd7u70BJUHg=,,1,300 - 400,AA11852010001,Supermarket,超級市場,if3+W1PEGpzLKTHOb0qsP2Ff+pe4oRyTID6ivAaWdig=
9,EebkFtDoRJHuscrqv3jFqqew/MzC65wlOrp6CBqvfy0=,qF6m/tp1TOWHULH1iI1xWweNStYq6szGznQ7gl8CR3Y=,,2022-04-24,00-09,2022-04-26,18:00 - 21:00,MAIN,iOS,NT,LAI KING NT,WTX,荔景(地),,,Private,0xmZ8XkbFW/5Zk70nD5bbjhTuvewE/axF9OCgyfICYM=,0xmZ8XkbFW/5Zk70nD5bbjhTuvewE/axF9OCgyfICYM=,,2,85 - 90,AA11852010001,Supermarket,超級市場,uGK0idfopzQhABxlYD120PveJpV0eI4lChfxfvwZSw0=
10,39y+pjNxkqziZDY3m+W7kKoSTiRkdHIVyzausVc/NS8=,qqpTKCDVZ1gpQvKA8NZCWqtw8hdw0tcOzamO4s4Rndg=,,2022-04-24,12-15,2022-04-26,14:00 - 18:00,MAIN,iOS,NT,TUNG CHUNG NT,NT-TW,東涌(逸東),YAT TUNG ESTATE,逸東邨,Public,0xmZ8XkbFW/5Zk70nD5bbjhTuvewE/axF9OCgyfICYM=,0xmZ8XkbFW/5Zk70nD5bbjhTuvewE/axF9OCgyfICYM=,,1,42 - 44,AA11852010001,Supermarket,超級市場,uGK0idfopzQhABxlYD120PveJpV0eI4lChfxfvwZSw0=
11,9jj2o2Q0tgNhaS8jozfc3aerdQX5kJKSpjVNTywHaJE=,Ys6JwAa9lCNmG3WSTFmjuPmQ03d8Z8t/P/X+tGB9+t8=,,2022-04-24,21-24,2022-04-26,18:00 - 21:00,MAIN,iOS,NT,TIU KENG LENG NT,ETK,調景嶺,OCEAN SHORES,維景灣畔,Private,0xmZ8XkbFW/5Zk70nD5bbjhTuvewE/axF9OCgyfICYM=,0xmZ8XkbFW/5Zk70nD5bbjhTuvewE/axF9OCgyfICYM=,,1,42 - 44,AA11852010001,Supermarket,超級市場,uGK0idfopzQhABxlYD120PveJpV0eI4lChfxfvwZSw0=
12,b7Sqshgcke8lPbsjs8mzJaHPTEI9Qsbyz3EsWi9lkPc=,qg8OkID1vZg51EB7ua9+F8QCO0U5nPv6xgNiL/sKXRQ=,,2022-04-24,00-09,2022-04-27,14:00 - 18:00,MAIN,iOS,,,,,,,,QRXaYD0h/SN2Ra3LyEpsUEb5q0oy05kjhcIkyRC9G8Q=,QRXaYD0h/SN2Ra3LyEpsUEb5q0oy05kjhcIkyRC9G8Q=,,1,55 - 60,AA11852010001,Supermarket,超級市場,aYlFTOsH9adAOAcKgbBqdoezsrsFO1pltjT8e9G3Qzc=
13,CbDyCk9E5akhhkz3Jw5w7C1e/LS4i0uPlwcRS9UrsOM=,oqdeqaf0v1HLVhlTXLIvdEgI3KT16//ub5c5T9ZehTU=,,2022-04-24,21-24,2022-04-27,18:00 - 21:00,MAIN,iOS,KLN,JORDAN KLN,WTK,九龍站(港),,,Private,QRXaYD0h/SN2Ra3LyEpsUEb5q0oy05kjhcIkyRC9G8Q=,QRXaYD0h/SN2Ra3LyEpsUEb5q0oy05kjhcIkyRC9G8Q=,,2,100 - 200,AA11852010001,Supermarket,超級市場,aYlFTOsH9adAOAcKgbBqdoezsrsFO1pltjT8e9G3Qzc=
14,0gcrH1dWDQ/xhH1e1aXc8DVz0gLbUmIO8w8iDYmbxO8=,N2ajVGRt887CY5na8wuMZUte4WmsHPA5t2+56HbCnpY=,,2022-04-24,12-15,2022-04-26,18:00 - 21:00,MAIN,iOS,HK,HAPPY VALLEY HK,ETH,跑馬地(樂),,,Private,8Y/DjBtv1xIdIWNshmfCJg8kELviX5WLBdY974LXdYg=,8Y/DjBtv1xIdIWNshmfCJg8kELviX5WLBdY974LXdYg=,,1,48 - 50,AA11852010001,Supermarket,超級市場,aYlFTOsH9adAOAcKgbBqdoezsrsFO1pltjT8e9G3Qzc=
15,84Vt/il2AjgRoF7DZh7klgSDiRxBfasmELgczFbo+fk=,AZG2KAern/toqk+ib+ovRu5x/7t7ITlQPbJ/+D1rr7g=,,2022-04-24,18-21,2022-04-26,14:00 - 18:00,MAIN,iOS,KLN,KWUN TONG KLN,ETX,觀塘,,,Private,0C1nhoQRm71Nd/PgZP5lX6eNtOEU8zkOAHHR4nrhGAA=,0C1nhoQRm71Nd/PgZP5lX6eNtOEU8zkOAHHR4nrhGAA=,,1,55 - 60,AA11852010001,Supermarket,超級市場,KujOqqrUCL9r6Un+rV673OmtnnE93x3kXQon+fjObLo=
