district,total_amount,location,latitude,longitude
ABERDEEN HK,2235410.75,"香港仔 Aberdeen, 南區 Southern District, 香港島 Hong Kong Island, 香港 Hong Kong, 中国",22.2489071,114.1564209
ADMIRALTY HK,276546.5,"金鐘 Admiralty, 金鐘道 Queensway, 中半山 Mid-Levels Central, 灣仔 Wan Chai, 中西區 Central and Western District, 香港島 Hong Kong Island, 香港 Hong Kong, 中国",22.2786165,114.16626880001752
AP LEI CHAU HK,3509445.0,"鴨脷洲 Ap Lei Chau, 南區 Southern District, 香港島 Hong Kong Island, 香港 Hong Kong, 中国",22.23993535,114.15452436190014
BRAEMAR HILL HK,1674158.0,"寶馬山 Braemar Hill, 香港島 Hong Kong Island, 香港 Hong Kong, 中国",22.2864177,114.2064417
CAUSEWAY BAY HK,872168.75,"銅鑼灣 Causeway Bay, 天后 Tin Hau, 銅鑼灣 Causeway Bay, 灣仔區 Wan Chai District, 香港島 Hong Kong Island, 香港 Hong Kong, 中国",22.2820777,114.1891587
CENTRAL HK,1311177.75,"中環 Central, 中西區 Central and Western District, 香港島 Hong Kong Island, 香港 Hong Kong, 中国",22.2818286,114.1582784
CHAI WAN HK,2072852.75,"柴灣 Chai Wan, 灣仔區 Wan Chai District, 香港島 Hong Kong Island, 香港 Hong Kong, 中国",22.2656067,114.2379644
CHUNG HOM KOK HK,174467.25,"舂坎角 Chung Hom Kok, 赤柱 Stanley, 南區 Southern District, 香港島 Hong Kong Island, 香港 Hong Kong, 中国",22.2182618,114.2047605
DISCOVERY BAY NT,1233046.5,"愉景灣 Discovery Bay, 離島區 Islands District, 新界 New Territories, 香港 Hong Kong, 中国",22.2973688,114.016528
FANLING NT,3522035.25,"粉嶺 Fanling, 粉嶺車站路 Fanling Station Road, 田心 Tin Sam, 粉嶺市中心 Fanling Town Centre, 粉嶺 Fanling, 北區 North District, 新界 New Territories, 香港 Hong Kong, 中国",22.49213925,114.13860429408284
FO TAN NT,2840487.25,"火炭 Fo Tan, 樂景街 Lok King Street, 禾寮坑 Wo Liu Hang, 火炭 Fo Tan, 火炭村 Fo Tan Village, 沙田區 Sha Tin District, 新界 New Territories, 香港 Hong Kong, 中国",22.3951537,114.19810125947764
FORTRESS HILL HK,1047969.5,"炮台山 Fortress Hill, 238, 英皇道 King's Road, 炮台山 Fortress Hill, 北角 North Point, 東區 Eastern District, 香港島 Hong Kong Island, 香港 Hong Kong, 中国",22.2875631,114.1933149
